date,slot,rank,rank_range,product_name,source,note,is_active,product_group,sub_group,original_product_group,exclude_from_opportunity
2026-05-15,pm,69,51-100,닭다리살,naver_top200,Top200_확장후보,Y,meat,닭고기,축산물,N
2026-05-15,pm,70,51-100,커큐민,naver_top200,Top200_확장후보,Y,health,영양제,건강식품,Y
2026-05-15,pm,71,51-100,버터떡,naver_top200,Top200_확장후보,Y,dessert,베이커리/디저트,가공식품,N
2026-05-15,pm,72,51-100,정관장에브리타임,naver_top200,Top200_확장후보,Y,health,건강진액,브랜드_완제품,Y
2026-05-15,pm,73,51-100,밀크씨슬,naver_top200,Top200_확장후보,Y,health,영양제,건강식품,Y
2026-05-15,pm,74,51-100,정관장,naver_top200,Top200_확장후보,Y,health,건강진액,브랜드_완제품,Y
2026-05-15,pm,75,51-100,버터,naver_top200,Top200_확장후보,Y,ingredient,유제품원료,가공식품,N
2026-05-15,pm,76,51-100,삼다수2l,naver_top200,Top200_확장후보,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,77,51-100,구강유산균m18,naver_top200,Top200_확장후보,Y,health,유산균,건강식품,Y
2026-05-15,pm,78,51-100,오렌지,naver_top200,Top200_확장후보,Y,agri,과일,농산물,N
2026-05-15,pm,79,51-100,냉면육수,naver_top200,Top200_확장후보,Y,processed,간편식/반찬,가공식품,N
2026-05-15,pm,80,51-100,생수500,naver_top200,Top200_확장후보,Y,processed,음료/차류,브랜드_완제품,Y
2026-05-15,pm,81,51-100,땅콩버터,naver_top200,Top200_확장후보,Y,processed,스프레드/소스,가공식품,N
2026-05-15,pm,82,51-100,la갈비,naver_top200,Top200_확장후보,Y,meat,소고기,meat,N
2026-05-15,pm,83,51-100,커피생두,naver_top200,Top200_확장후보,Y,ingredient,커피원료,수입원재료,N
2026-05-15,pm,84,51-100,병아리콩,naver_top200,Top200_확장후보,Y,grain,콩/잡곡,농산물,N
2026-05-15,pm,85,51-100,아몬드,naver_top200,Top200_확장후보,Y,agri,견과류,농산물,N
2026-05-15,pm,86,51-100,당근,naver_top200,Top200_확장후보,Y,agri,뿌리채소,농산물,N
2026-05-15,pm,87,51-100,쏘팔메토,naver_top200,Top200_확장후보,Y,health,영양제,건강식품,Y
2026-05-15,pm,88,51-100,김치,naver_top200,Top200_확장후보,Y,processed,김치/절임,가공식품,N
2026-05-15,pm,89,51-100,생수2l,naver_top200,Top200_확장후보,Y,processed,음료/차류,브랜드_완제품,Y
2026-05-15,pm,90,51-100,멀티비타민,naver_top200,Top200_확장후보,Y,health,영양제,건강식품,Y
2026-05-15,pm,91,51-100,비에날17유산균,naver_top200,Top200_확장후보,Y,health,유산균,건강식품,Y
2026-05-15,pm,92,51-100,프로폴리스,naver_top200,Top200_확장후보,Y,health,영양제,건강식품,Y
2026-05-15,pm,93,51-100,수향미10kg,naver_top200,Top200_확장후보,Y,grain,쌀,농산물,N
2026-05-15,pm,94,51-100,체리,naver_top200,Top200_확장후보,Y,agri,과일,농산물,N
2026-05-15,pm,95,51-100,콘드로이친1200,naver_top200,Top200_확장후보,Y,health,건강식품,건강식품,Y
2026-05-15,pm,96,51-100,단백질음료,naver_top200,Top200_확장후보,Y,health,단백질/근육,브랜드_완제품,Y
2026-05-15,pm,97,51-100,애사비,naver_top200,Top200_확장후보,Y,health,건강식품,브랜드_완제품,Y
2026-05-15,pm,98,51-100,햇반,naver_top200,Top200_확장후보,Y,processed,간편식/반찬,브랜드_완제품,Y
2026-05-15,pm,99,51-100,대패킹,naver_top200,Top200_확장후보,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,100,51-100,코엔자임q10,naver_top200,Top200_확장후보,Y,health,건강식품,건강식품,Y
2026-05-15,pm,101,101-200,두쫀쿠,naver_top200,Top200_확장후보,Y,dessert,베이커리/디저트,가공식품,N
