product_name,itemcategorycode,itemcode,kindcode,productrankcode,countrycode,label,item_name,kind_name,rank_name,retail_unit_name,wholesale_unit_name
양파,200,245,00,05,,양파-양파-중품,양파,양파,중품,1kg,15kg
양파,200,245,00,07,,양파-양파-유기농,양파,양파,유기농,,
양파,200,245,00,08,,양파-양파-무농약,양파,양파,무농약,,
양파,200,245,02,04,,양파-햇양파-상품,양파,햇양파,상품,1kg,15kg
양파,200,245,02,05,,양파-햇양파-중품,양파,햇양파,중품,1kg,15kg
양파,200,245,10,05,,양파-수입-중품,양파,수입,중품,,20kg
오렌지,400,421,02,04,,오렌지-수입-상품,오렌지,수입,상품,10개,18kg
오렌지,400,421,02,05,,오렌지-수입-중품,오렌지,수입,중품,10개,18kg
오렌지,400,421,03,04,,오렌지-네이블 미국-상품,오렌지,네이블 미국,상품,10개,18kg
오렌지,400,421,03,05,,오렌지-네이블 미국-중품,오렌지,네이블 미국,중품,10개,18kg
오렌지,400,421,04,04,,오렌지-발렌시아 미국-상품,오렌지,발렌시아 미국,상품,10개,18kg
오렌지,400,421,04,05,,오렌지-발렌시아 미국-중품,오렌지,발렌시아 미국,중품,10개,18kg
오렌지,400,421,05,04,,오렌지-네이블 EU-상품,오렌지,네이블 EU,상품,10개,18kg
오렌지,400,421,05,05,,오렌지-네이블 EU-중품,오렌지,네이블 EU,중품,10개,18kg
오렌지,400,421,06,04,,오렌지-네이블 호주-상품,오렌지,네이블 호주,상품,10개,18kg
오렌지,400,421,06,05,,오렌지-네이블 호주-중품,오렌지,네이블 호주,중품,10개,18kg
오이,200,223,01,04,,오이-가시계통-상품,오이,가시계통,상품,10개,10kg
오이,200,223,01,05,,오이-가시계통-중품,오이,가시계통,중품,10개,10kg
오이,200,223,02,04,,오이-다다기계통-상품,오이,다다기계통,상품,10개,100개
오이,200,223,02,05,,오이-다다기계통-중품,오이,다다기계통,중품,10개,100개
오이,200,223,02,07,,오이-다다기계통-유기농,오이,다다기계통,유기농,,
오이,200,223,02,08,,오이-다다기계통-무농약,오이,다다기계통,무농약,,
오이,200,223,03,04,,오이-취청-상품,오이,취청,상품,10개,50개
오이,200,223,03,05,,오이-취청-중품,오이,취청,중품,10개,50개
전복,600,653,00,05,,전복-전복-중품,전복,전복,중품,5마리,1kg
전복,600,653,00,20,,전복-전복-大,전복,전복,大,,
전복,600,653,00,21,,전복-전복-中,전복,전복,中,,
참외,200,222,00,04,,참외-참외-상품,참외,참외,상품,10개,10kg
참외,200,222,00,05,,참외-참외-중품,참외,참외,중품,10개,10kg
참외,200,222,00,07,,참외-참외-유기농,참외,참외,유기농,,
참외,200,222,00,08,,참외-참외-무농약,참외,참외,무농약,,
찹쌀,100,112,1,4,,찹쌀-일반계-상품,찹쌀,일반계,상품,1kg,40kg
찹쌀,100,112,1,5,,찹쌀-일반계-중품,찹쌀,일반계,중품,,40kg
찹쌀,100,112,1,7,,찹쌀-일반계-유기농,찹쌀,일반계,유기농,,
찹쌀,100,112,1,8,,찹쌀-일반계-무농약,찹쌀,일반계,무농약,,
체리,400,425,00,04,,체리-수입-상품,체리,수입,상품,100g,5kg
체리,400,425,00,05,,체리-수입-중품,체리,수입,중품,100g,5kg
토마토,200,225,00,04,,토마토-토마토-상품,토마토,토마토,상품,1kg,5kg
토마토,200,225,00,05,,토마토-토마토-중품,토마토,토마토,중품,1kg,5kg
토마토,200,225,00,07,,토마토-토마토-유기농,토마토,토마토,유기농,,
토마토,200,225,00,08,,토마토-토마토-무농약,토마토,토마토,무농약,,
파프리카,200,256,0,4,,파프리카-파프리카-상품,파프리카,파프리카,상품,200g,5kg
파프리카,200,256,0,5,,파프리카-파프리카-중품,파프리카,파프리카,중품,200g,5kg
호두,300,318,00,05,,호두-수입-중품,호두,수입,중품,100g,
