date,slot,source_type,source,rank,rank_range,product_name,note,product_group,sub_group,exclude_from_opportunity,search_ratio,shopping_ratio
2026-04-28,am,rising,naver_top200,157.0,101-200,bnr17유산균,브랜드상품,브랜드_완제품,,Y,18.92906,43.37349
2026-04-28,am,rising,naver_top200,158.0,101-200,창억호박인절미,브랜드상품,브랜드_완제품,,Y,22.29796,43.37349
2026-04-28,am,rising,naver_top200,159.0,101-200,포카리스웨트,브랜드상품,브랜드_완제품,,Y,13.30764,43.37349
2026-04-28,am,rising,naver_top200,160.0,101-200,베르베린,건강식품,건강식품,,Y,21.14206,43.17269
2026-04-28,am,rising,naver_top200,161.0,101-200,냉면,농산_가공식품,가공식품,,N,27.38589,42.97188
2026-04-28,am,rising,naver_top200,162.0,101-200,알티지오메가3,건강식품,건강식품,,Y,28.59412,38.07829
2026-04-28,am,rising,naver_top200,163.0,101-200,단백질음료,브랜드상품,브랜드_완제품,,Y,33.32009,37.90035
2026-04-28,am,rising,naver_top200,164.0,101-200,버터,유제품,가공식품,,N,50.47656,37.90035
2026-04-28,am,rising,naver_top200,165.0,101-200,성주참외,Top200_확장후보,농산물,,N,39.87291,37.90035
2026-04-28,am,rising,naver_top200,166.0,101-200,애사비,브랜드상품,브랜드_완제품,,Y,80.46068,37.90035
2026-04-28,am,rising,naver_top200,167.0,101-200,cca주스,브랜드상품,브랜드_완제품,,Y,29.47785,44.53781
2026-04-28,am,rising,naver_top200,168.0,101-200,문어,Top200_확장후보,수산물,,N,57.36946,44.53781
2026-04-28,am,rising,naver_top200,169.0,101-200,쌀,농산_가공식품,가공식품,,N,90.01982,44.53781
2026-04-28,am,rising,naver_top200,170.0,101-200,올레샷,브랜드상품,브랜드_완제품,,Y,58.95571,44.32773
2026-04-28,am,rising,naver_top200,171.0,101-200,낫또,농산_가공식품,가공식품,,N,58.95571,44.11764
2026-04-28,am,rising,naver_top200,172.0,101-200,마그네슘영양제,건강식품,건강식품,,Y,75.47961,54.40414
2026-04-28,am,rising,naver_top200,173.0,101-200,퀘르포민정,건강식품,건강식품,,Y,35.07194,54.40414
2026-04-28,am,rising,naver_top200,174.0,101-200,올리브유,Top200_확장후보,수입원재료,,N,87.23021,54.14507
2026-04-28,am,rising,naver_top200,175.0,101-200,기한,브랜드상품,브랜드_완제품,,Y,10.97122,53.88601
2026-04-28,am,rising,naver_top200,176.0,101-200,마카다미아,Top200_확장후보,농산물,,N,78.1175,53.88601
