product_name,price_type,itemcategorycode,itemcode,kindcode,productrankcode,item_name,kind_name,rank_name,unit_name,itemname,kindname,countyname,marketname,yyyy,regday,price,full_regday,regday_dt,price_num
양파,retail,200,245,00,07,양파,양파,유기농,,양파,양파(1kg),제주,E-유통,2026,04/28,"1,320",2026-04-28,2026-04-28,1320.0
양파,retail,200,245,00,08,양파,양파,무농약,,양파,양파(1kg),김해,A-유통,2026,04/15,"1,990",2026-04-15,2026-04-15,1990.0
양파,retail,200,245,02,04,양파,햇양파,상품,1kg,양파,햇양파(1kg),제주,E-유통,2026,04/17,"1,990",2026-04-17,2026-04-17,1990.0
양파,wholesale,200,245,00,04,양파,양파,상품,15kg,양파,양파(15kg),대전,오정도매,2026,04/28,"13,000",2026-04-28,2026-04-28,13000.0
양파,wholesale,200,245,00,05,양파,양파,중품,15kg,양파,양파(15kg),대전,오정도매,2026,04/28,"9,000",2026-04-28,2026-04-28,9000.0
양파,wholesale,200,245,00,07,양파,양파,유기농,,양파,양파(15kg),대전,오정도매,2026,04/28,"13,000",2026-04-28,2026-04-28,13000.0
양파,wholesale,200,245,00,08,양파,양파,무농약,,양파,양파(15kg),대전,오정도매,2026,04/28,"9,000",2026-04-28,2026-04-28,9000.0
오렌지,retail,400,421,03,04,오렌지,네이블 미국,상품,10개,오렌지,네이블 미국(10개),제주,E-유통,2026,04/28,-,2026-04-28,2026-04-28,
오렌지,retail,400,421,03,05,오렌지,네이블 미국,중품,10개,오렌지,네이블 미국(10개),제주,E-유통,2026,04/28,"12,500",2026-04-28,2026-04-28,12500.0
오렌지,wholesale,400,421,03,04,오렌지,네이블 미국,상품,18kg,오렌지,네이블 미국(18kg),대전,오정도매,2026,04/28,"75,000",2026-04-28,2026-04-28,75000.0
오렌지,wholesale,400,421,03,05,오렌지,네이블 미국,중품,18kg,오렌지,네이블 미국(18kg),대전,오정도매,2026,04/28,"73,000",2026-04-28,2026-04-28,73000.0
오이,retail,200,223,01,04,오이,가시계통,상품,10개,오이,가시계통(10개),제주,E-유통,2026,04/28,"9,960",2026-04-28,2026-04-28,9960.0
오이,retail,200,223,02,04,오이,다다기계통,상품,10개,오이,다다기계통(10개),제주,E-유통,2026,04/28,"7,980",2026-04-28,2026-04-28,7980.0
오이,retail,200,223,02,05,오이,다다기계통,중품,10개,오이,다다기계통(10개),순천,역전,2026,04/28,"6,000",2026-04-28,2026-04-28,6000.0
오이,retail,200,223,02,07,오이,다다기계통,유기농,,오이,다다기계통(10개),제주,E-유통,2026,04/28,"7,980",2026-04-28,2026-04-28,7980.0
오이,retail,200,223,02,08,오이,다다기계통,무농약,,오이,다다기계통(10개),순천,역전,2026,04/28,"6,000",2026-04-28,2026-04-28,6000.0
오이,retail,200,223,03,04,오이,취청,상품,10개,오이,취청(10개),안동,C-유통,2026,04/28,"14,900",2026-04-28,2026-04-28,14900.0
오이,wholesale,200,223,01,04,오이,가시계통,상품,10kg,오이,가시계통(10kg),대구,북부도매,2026,04/28,"20,000",2026-04-28,2026-04-28,20000.0
오이,wholesale,200,223,01,05,오이,가시계통,중품,10kg,오이,가시계통(10kg),대구,북부도매,2026,04/28,"14,600",2026-04-28,2026-04-28,14600.0
오이,wholesale,200,223,02,04,오이,다다기계통,상품,100개,오이,다다기계통(100개),대전,오정도매,2026,04/28,"41,600",2026-04-28,2026-04-28,41600.0
오이,wholesale,200,223,02,05,오이,다다기계통,중품,100개,오이,다다기계통(100개),대전,오정도매,2026,04/28,"30,600",2026-04-28,2026-04-28,30600.0
오이,wholesale,200,223,02,07,오이,다다기계통,유기농,,오이,다다기계통(100개),대전,오정도매,2026,04/28,"41,600",2026-04-28,2026-04-28,41600.0
오이,wholesale,200,223,02,08,오이,다다기계통,무농약,,오이,다다기계통(100개),대전,오정도매,2026,04/28,"30,600",2026-04-28,2026-04-28,30600.0
오이,wholesale,200,223,03,04,오이,취청,상품,50개,오이,취청(50개),대전,오정도매,2026,04/28,"29,000",2026-04-28,2026-04-28,29000.0
오이,wholesale,200,223,03,05,오이,취청,중품,50개,오이,취청(50개),대전,오정도매,2026,04/28,"18,600",2026-04-28,2026-04-28,18600.0
