date,slot,source_type,source,product_name,canonical_product_name,rank,rank_range,prev_rank,rank_change,rank_direction,rank_change_label,is_new_entry,is_reentry,last_seen_date,last_seen_slot,last_seen_rank,days_since_last_seen,days_seen_7d,days_seen_14d,consecutive_days,best_rank_14d,worst_rank_14d,rank_velocity_3d,rising_stage,rising_score,rising_reason,rising_level,confidence_level,action_level,stable_summary,product_group,sub_group,original_product_group,exclude_from_opportunity,exclude_reason,note
2026-04-28,am,rising,naver_top200,엄나무순,엄나무순,43,21-50,36.0,-7.0,down,▼ 7단계,N,N,2026-04-27,pm,36.0,1.0,5,5,3,21,43,-17.0,NAVER_RISING,49.5,Top20 진입 직전 구간 · 순위 하락 · 최근 7일 중 5일 등장 · 3일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"엄나무순은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 43위이며, 최근 7일 중 5일 등장했습니다.",agri,뿌리채소,농산물,N,,21~50_전량수집
2026-04-28,am,rising,naver_top200,쑥떡,쑥떡,58,51-100,57.0,-1.0,down,▼ 1단계,N,N,2026-04-27,pm,57.0,1.0,6,6,6,55,66,2.0,NAVER_WARMING,48.7,중위권 관심 형성 구간 · 순위 하락 · 최근 7일 중 6일 등장 · 6일 연속 등장,WARMING,high,관찰 강화,"쑥떡은 관심 형성 구간에 있는 후보입니다. 현재 58위이며, 순위 변화는 ▼ 1단계입니다.",dessert,떡,가공식품,N,,디저트/떡
2026-04-28,am,rising,naver_top200,버터떡,버터떡,67,51-100,71.0,4.0,up,▲ 4단계,N,N,2026-04-27,pm,71.0,1.0,6,6,6,28,71,-27.0,NAVER_WARMING,48.6,중위권 관심 형성 구간 · 최근 7일 중 6일 등장 · 6일 연속 등장,WARMING,high,관찰 강화,"버터떡은 관심 형성 구간에 있는 후보입니다. 현재 67위이며, 순위 변화는 ▲ 4단계입니다.",dessert,베이커리/디저트,가공식품,N,,디저트/떡
2026-04-28,am,rising,naver_top200,두릅,두릅,42,21-50,30.0,-12.0,down,▼ 12단계,N,N,2026-04-27,pm,30.0,1.0,4,4,4,21,42,-18.0,NAVER_RISING,47.8,Top20 진입 직전 구간 · 순위 하락 · 최근 7일 중 4일 등장 · 4일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"두릅은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 42위이며, 최근 7일 중 4일 등장했습니다.",agri,엽채/나물,농산물,N,,21~50_전량수집
2026-04-28,am,rising,naver_top200,땅콩버터,땅콩버터,75,51-100,69.0,-6.0,down,▼ 6단계,N,N,2026-04-27,pm,69.0,1.0,6,6,6,58,85,-1.0,NAVER_WARMING,47.0,중위권 관심 형성 구간 · 순위 하락 · 최근 7일 중 6일 등장 · 6일 연속 등장,WARMING,high,관찰 강화,"땅콩버터은 관심 형성 구간에 있는 후보입니다. 현재 75위이며, 순위 변화는 ▼ 6단계입니다.",processed,스프레드/소스,가공식품,N,,유제품
2026-04-28,am,rising,naver_top200,간장게장,간장게장,124,101-200,149.0,25.0,up,▲ 25단계,N,N,2026-04-27,pm,149.0,1.0,3,3,2,124,149,25.0,NAVER_WATCH,47.0,초기 관찰 구간 · 전 스냅샷 대비 상승 · 최근 3일 상승 흐름,WATCH,medium,추가 관찰,간장게장은 초기 관찰 후보입니다. 최근 3일 기준 25단계 상승 흐름이 확인됩니다.,processed,반찬/수산가공,가공식품,N,,수산_가공식품
2026-04-28,am,rising,naver_top200,수향미,수향미,133,101-200,182.0,49.0,up,▲ 49단계,N,N,2026-04-27,pm,182.0,1.0,6,6,6,78,182,-55.0,NAVER_WATCH,47.0,초기 관찰 구간 · 전 스냅샷 대비 급상승 · 최근 7일 중 6일 등장 · 6일 연속 등장,WATCH,high,추가 관찰,수향미은 네이버 21~200위권에서 관찰 중인 후보입니다. 추가 수집 후 반복 등장 여부를 확인해야 합니다.,grain,쌀,농산물,N,,농산_가공식품
2026-04-28,am,rising,naver_top200,두리안,두리안,132,101-200,156.0,24.0,up,▲ 24단계,N,N,2026-04-27,pm,156.0,1.0,5,5,5,101,156,-13.0,NAVER_WATCH,46.4,초기 관찰 구간 · 전 스냅샷 대비 상승 · 최근 7일 중 5일 등장 · 5일 연속 등장,WATCH,high,추가 관찰,두리안은 네이버 21~200위권에서 관찰 중인 후보입니다. 추가 수집 후 반복 등장 여부를 확인해야 합니다.,agri,농산물 원물,농산물,N,,Top200_확장후보
2026-04-28,am,rising,naver_top200,삼겹살,삼겹살,48,21-50,37.0,-11.0,down,▼ 11단계,N,N,2026-04-27,pm,37.0,1.0,5,5,2,37,142,-11.0,NAVER_RISING,45.5,Top20 진입 직전 구간 · 순위 하락 · 최근 7일 중 5일 등장,PRIORITY,high,시장 데이터 확인 필요,"삼겹살은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 48위이며, 최근 7일 중 5일 등장했습니다.",meat,돼지고기,축산물,N,,21~50_전량수집
2026-04-28,am,rising,naver_top200,견과류,견과류,61,51-100,50.0,-11.0,down,▼ 11단계,N,N,2026-04-27,pm,50.0,1.0,6,6,6,50,81,-2.0,NAVER_WARMING,45.3,중위권 관심 형성 구간 · 순위 하락 · 최근 7일 중 6일 등장 · 6일 연속 등장,WARMING,high,관찰 강화,"견과류은 관심 형성 구간에 있는 후보입니다. 현재 61위이며, 순위 변화는 ▼ 11단계입니다.",agri,견과류,가공식품,N,,농산_가공식품
