product_name,period,shopping_ratio,shopping_keywords
닭가슴살,2026-04-20,51.74621,닭가슴살
닭가슴살,2026-04-21,47.72991,닭가슴살
닭가슴살,2026-04-22,47.55529,닭가슴살
닭가슴살,2026-04-23,46.21653,닭가슴살
닭가슴살,2026-04-24,39.87194,닭가슴살
닭가슴살,2026-04-25,38.06752,닭가슴살
닭가슴살,2026-04-26,83.81839,닭가슴살
닭가슴살,2026-04-27,51.6298,닭가슴살
닭가슴살,2026-04-28,46.68218,닭가슴살
닭갈비,2026-04-15,33.41013,닭갈비
닭갈비,2026-04-16,30.87557,닭갈비
닭갈비,2026-04-17,26.49769,닭갈비
닭갈비,2026-04-18,15.43778,닭갈비
닭갈비,2026-04-19,20.96774,닭갈비
닭갈비,2026-04-20,30.18433,닭갈비
닭갈비,2026-04-21,33.64055,닭갈비
닭갈비,2026-04-22,33.64055,닭갈비
닭갈비,2026-04-23,27.41935,닭갈비
닭갈비,2026-04-24,23.73271,닭갈비
닭갈비,2026-04-25,19.81566,닭갈비
닭갈비,2026-04-26,46.54377,닭갈비
닭갈비,2026-04-27,40.55299,닭갈비
닭갈비,2026-04-28,47.46543,닭갈비
닭꼬치,2026-04-15,28.29457,닭꼬치
닭꼬치,2026-04-16,23.8372,닭꼬치
닭꼬치,2026-04-17,15.89147,닭꼬치
닭꼬치,2026-04-18,7.55813,닭꼬치
닭꼬치,2026-04-19,14.92248,닭꼬치
닭꼬치,2026-04-20,27.51937,닭꼬치
닭꼬치,2026-04-21,25.77519,닭꼬치
닭꼬치,2026-04-22,23.06201,닭꼬치
닭꼬치,2026-04-23,17.63565,닭꼬치
닭꼬치,2026-04-24,13.95348,닭꼬치
닭꼬치,2026-04-25,13.37209,닭꼬치
닭꼬치,2026-04-26,33.33333,닭꼬치
닭꼬치,2026-04-27,25.58139,닭꼬치
닭꼬치,2026-04-28,43.41085,닭꼬치
닭다리살,2026-04-15,55.82706,닭다리살
닭다리살,2026-04-16,47.36842,닭다리살
닭다리살,2026-04-17,41.72932,닭다리살
닭다리살,2026-04-18,35.15037,닭다리살
닭다리살,2026-04-19,39.09774,닭다리살
닭다리살,2026-04-20,51.12781,닭다리살
닭다리살,2026-04-21,41.35338,닭다리살
닭다리살,2026-04-22,55.26315,닭다리살
닭다리살,2026-04-23,51.31578,닭다리살
닭다리살,2026-04-24,34.02255,닭다리살
닭다리살,2026-04-25,36.46616,닭다리살
닭다리살,2026-04-26,87.21804,닭다리살
닭다리살,2026-04-27,54.88721,닭다리살
닭다리살,2026-04-28,50.37593,닭다리살
답례품,2026-04-15,35.46255,답례품
답례품,2026-04-16,47.79735,답례품
답례품,2026-04-17,33.9207,답례품
답례품,2026-04-18,19.60352,답례품
답례품,2026-04-19,42.29074,답례품
답례품,2026-04-20,51.76211,답례품
답례품,2026-04-21,51.32158,답례품
답례품,2026-04-22,55.94713,답례품
답례품,2026-04-23,56.60792,답례품
답례품,2026-04-24,48.45814,답례품
답례품,2026-04-25,25.11013,답례품
답례품,2026-04-26,69.60352,답례품
답례품,2026-04-27,45.81497,답례품
답례품,2026-04-28,53.74449,답례품
당근,2026-04-15,40.96385,당근
당근,2026-04-16,41.71686,당근
당근,2026-04-17,29.21686,당근
당근,2026-04-18,28.16265,당근
당근,2026-04-19,28.91566,당근
당근,2026-04-20,44.57831,당근
당근,2026-04-21,44.57831,당근
당근,2026-04-22,42.92168,당근
당근,2026-04-23,40.66265,당근
당근,2026-04-24,34.93975,당근
당근,2026-04-25,32.83132,당근
당근,2026-04-26,100,당근
당근,2026-04-27,54.51807,당근
당근,2026-04-28,42.31927,당근
대마종자유,2026-04-15,27.76381,대마종자유
대마종자유,2026-04-16,28.89447,대마종자유
대마종자유,2026-04-17,34.54773,대마종자유
대마종자유,2026-04-18,37.31155,대마종자유
대마종자유,2026-04-19,37.18592,대마종자유
대마종자유,2026-04-20,40.95477,대마종자유
대마종자유,2026-04-21,34.17085,대마종자유
대마종자유,2026-04-22,35.05025,대마종자유
대마종자유,2026-04-23,30.15075,대마종자유
대마종자유,2026-04-24,27.88944,대마종자유
대마종자유,2026-04-25,17.83919,대마종자유
대마종자유,2026-04-26,83.91959,대마종자유
대마종자유,2026-04-27,28.51758,대마종자유
대마종자유,2026-04-28,44.09547,대마종자유
돼지갈비,2026-04-15,31.44796,돼지갈비
돼지갈비,2026-04-16,51.58371,돼지갈비
돼지갈비,2026-04-17,30.31674,돼지갈비
돼지갈비,2026-04-18,30.31674,돼지갈비
돼지갈비,2026-04-19,32.57918,돼지갈비
돼지갈비,2026-04-20,40.27149,돼지갈비
돼지갈비,2026-04-21,47.73755,돼지갈비
