product_name,auction_date,market_code,market_name,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,valid_row_count,outlier_count,corp_count,raw_high_price,raw_low_price
블루베리,2026-05-11,110001,서울가락,35281.9,58000.0,22000.0,11696.0,663,649,14,5,73000.0,15000.0
블루베리,2026-05-11,220001,대구북부,32355.1,44000.0,17900.0,2098.0,161,135,26,3,48500.0,2300.0
블루베리,2026-05-11,311201,구리,32337.4,40000.0,22000.0,1728.0,97,95,2,3,41000.0,21000.0
블루베리,2026-05-11,210009,부산반여,29542.8,41100.0,13600.0,1585.0,110,107,3,3,42000.0,13500.0
블루베리,2026-05-11,210001,부산엄궁,30816.6,48800.0,19000.0,1529.0,98,96,2,3,52500.0,18000.0
블루베리,2026-05-11,240001,광주각화,28684.5,40000.0,22000.0,1138.0,89,87,2,3,40000.0,2400.0
블루베리,2026-05-11,240004,광주서부,3525.1,18000.0,2200.0,848.1,135,88,47,2,43000.0,2200.0
블루베리,2026-05-11,230001,인천남촌,30075.2,38000.0,23500.0,705.0,36,33,3,3,40000.0,0.0
블루베리,2026-05-11,110008,서울강서,30090.2,38000.0,21500.0,654.0,55,53,2,3,38500.0,20000.0
블루베리,2026-05-11,250001,대전오정,34454.6,41000.0,21000.0,579.0,55,54,1,2,42500.0,21000.0
블루베리,2026-05-11,380101,창원팔용,32233.9,40000.0,20000.0,510.0,43,41,2,2,42800.0,18000.0
블루베리,2026-05-11,370101,포항,26798.9,39500.0,14600.0,367.0,31,29,2,2,41900.0,13000.0
블루베리,2026-05-11,380303,창원내서,31455.0,39000.0,23500.0,302.0,34,32,2,2,41200.0,23100.0
블루베리,2026-05-11,340101,천안,29538.2,38300.0,21600.0,285.0,26,24,2,2,41000.0,20000.0
블루베리,2026-05-11,310101,수원,33366.7,40000.0,25000.0,240.0,22,21,1,3,40000.0,23000.0
블루베리,2026-05-11,250003,대전노은,37901.7,47000.0,22000.0,238.0,26,24,2,2,47200.0,20000.0
블루베리,2026-05-11,380401,진주,33494.8,40000.0,20000.0,230.0,31,29,2,2,42000.0,14000.0
블루베리,2026-05-11,230003,인천삼산,29707.4,35000.0,27000.0,229.0,23,21,2,2,37000.0,21000.0
블루베리,2026-05-11,330101,청주,29062.2,36100.0,20000.0,201.0,19,17,2,2,38000.0,16500.0
블루베리,2026-05-11,380201,울산,18155.1,24900.0,13800.0,195.0,15,13,2,1,26300.0,8000.0
블루베리,2026-05-11,360301,순천,32163.2,37000.0,24000.0,190.0,26,24,2,3,38000.0,20000.0
블루베리,2026-05-11,350301,익산,36889.5,40000.0,24000.0,181.0,6,6,0,2,40000.0,24000.0
블루베리,2026-05-11,310401,안양,30555.6,35500.0,26000.0,126.0,9,9,0,1,35500.0,26000.0
블루베리,2026-05-11,310901,안산,29905.4,38000.0,25000.0,74.0,8,8,0,1,38000.0,25000.0
블루베리,2026-05-11,350101,전주,37310.3,48000.0,28000.0,29.0,5,5,0,2,48000.0,28000.0
블루베리,2026-05-11,330201,충주,33300.0,37000.0,24000.0,20.0,3,3,0,1,37000.0,24000.0
블루베리,2026-05-11,320101,춘천,38000.0,38000.0,38000.0,10.0,3,3,0,1,38000.0,38000.0
블루베리,2026-05-11,320201,원주,69680.0,69680.0,69680.0,3.0,1,1,0,1,69680.0,69680.0
